Table,Year,Variable,Value
Reporter Region,2010,Domestic,458185
Reporter Region,2010,Foreign,213568
Reporter Region,2010,Not Specified,887
Reporter Region,2011,Domestic,524608
Reporter Region,2011,Foreign,255691
Reporter Region,2011,Not Specified,1328
Reporter Region,2012,Domestic,629710
Reporter Region,2012,Foreign,299183
Reporter Region,2012,Not Specified,1286
Reporter Region,2013,Domestic,714245
Reporter Region,2013,Foreign,354003
Reporter Region,2013,Not Specified,345
Reporter Region,2014,Domestic,825481
Reporter Region,2014,Foreign,372509
Reporter Region,2014,Not Specified,443
Reporter Region,2015,Domestic,1286196
Reporter Region,2015,Foreign,431881
Reporter Region,2015,Not Specified,1714
Reporter Region,2016,Domestic,1185345
Reporter Region,2016,Foreign,496222
Reporter Region,2016,Not Specified,1806
Reporter Region,2017,Domestic,1252674
Reporter Region,2017,Foreign,552297
Reporter Region,2017,Not Specified,39
Reporter Region,2018,Domestic,1416535
Reporter Region,2018,Foreign,723599
Reporter Region,2018,Not Specified,15
Reporter Region,2019,Domestic,1437654
Reporter Region,2019,Foreign,737609
Reporter Region,2019,Not Specified,21
Reporter Region,2020,Domestic,1482010
Reporter Region,2020,Foreign,720111
Reporter Region,2020,Not Specified,693
Reporter Region,2021,Domestic,1612279
Reporter Region,2021,Foreign,714730
Reporter Region,2021,Not Specified,1581
Reporter Region,2022,Domestic,1559069
Reporter Region,2022,Foreign,776869
Reporter Region,2022,Not Specified,1161
Reporter Region,2023,Domestic,1388324
Reporter Region,2023,Foreign,766023
Reporter Region,2023,Not Specified,108
Reporter Region,2024,Domestic,1261744
Reporter Region,2024,Foreign,779863
Reporter Region,2024,Not Specified,222
Sex,1968,Female,57
Sex,1968,Male,48
Sex,1968,Not Specified,2
Sex,1969,Female,3005
Sex,1969,Male,2113
Sex,1969,Not Specified,315
Sex,1970,Female,9124
Sex,1970,Male,7674
Sex,1970,Not Specified,1149
Sex,1971,Female,6116
Sex,1971,Male,6104
Sex,1971,Not Specified,936
Sex,1972,Female,4187
Sex,1972,Male,4417
Sex,1972,Not Specified,1033
Sex,1973,Female,4386
Sex,1973,Male,3571
Sex,1973,Not Specified,3420
Sex,1974,Female,4244
Sex,1974,Male,2923
Sex,1974,Not Specified,2086
Sex,1975,Female,5011
Sex,1975,Male,3769
Sex,1975,Not Specified,1835
Sex,1976,Female,5329
Sex,1976,Male,3210
Sex,1976,Not Specified,2282
Sex,1977,Female,6853
Sex,1977,Male,4160
Sex,1977,Not Specified,2728
Sex,1978,Female,4552
Sex,1978,Male,3086
Sex,1978,Not Specified,1797
Sex,1979,Female,3721
Sex,1979,Male,2689
Sex,1979,Not Specified,1833
Sex,1980,Female,5750
Sex,1980,Male,4476
Sex,1980,Not Specified,2686
Sex,1981,Female,6469
Sex,1981,Male,5006
Sex,1981,Not Specified,3025
Sex,1982,Female,11095
Sex,1982,Male,7881
Sex,1982,Not Specified,4729
Sex,1983,Female,15657
Sex,1983,Male,10653
Sex,1983,Not Specified,5711
Sex,1984,Female,15330
Sex,1984,Male,11118
Sex,1984,Not Specified,6175
Sex,1985,Female,18233
Sex,1985,Male,13084
Sex,1985,Not Specified,7482
Sex,1986,Female,25685
Sex,1986,Male,18724
Sex,1986,Not Specified,11519
Sex,1987,Female,26192
Sex,1987,Male,18389
Sex,1987,Not Specified,10178
Sex,1988,Female,24644
Sex,1988,Male,16780
Sex,1988,Not Specified,9714
Sex,1989,Female,29293
Sex,1989,Male,19846
Sex,1989,Not Specified,11543
Sex,1990,Female,36161
Sex,1990,Male,24655
Sex,1990,Not Specified,14385
Sex,1991,Female,36159
Sex,1991,Male,25208
Sex,1991,Not Specified,13923
Sex,1992,Female,53193
Sex,1992,Male,34824
Sex,1992,Not Specified,17937
Sex,1993,Female,63204
Sex,1993,Male,43340
Sex,1993,Not Specified,17654
Sex,1994,Female,66125
Sex,1994,Male,47811
Sex,1994,Not Specified,15186
Sex,1995,Female,79989
Sex,1995,Male,47589
Sex,1995,Not Specified,14089
Sex,1996,Female,99937
Sex,1996,Male,56767
Sex,1996,Not Specified,15500
Sex,1997,Female,115513
Sex,1997,Male,66021
Sex,1997,Not Specified,16700
Sex,1998,Female,86873
Sex,1998,Male,60797
Sex,1998,Not Specified,12220
Sex,1999,Female,126667
Sex,1999,Male,80273
Sex,1999,Not Specified,17423
Sex,2000,Female,111843
Sex,2000,Male,75491
Sex,2000,Not Specified,12465
Sex,2001,Female,108531
Sex,2001,Male,79749
Sex,2001,Not Specified,14928
Sex,2002,Female,96758
Sex,2002,Male,75958
Sex,2002,Not Specified,12163
Sex,2003,Female,118354
Sex,2003,Male,87770
Sex,2003,Not Specified,19110
Sex,2004,Female,151431
Sex,2004,Male,103678
Sex,2004,Not Specified,17722
Sex,2005,Female,172862
Sex,2005,Male,129235
Sex,2005,Not Specified,19782
Sex,2006,Female,182831
Sex,2006,Male,132346
Sex,2006,Not Specified,20493
Sex,2007,Female,203281
Sex,2007,Male,134058
Sex,2007,Not Specified,25986
Sex,2008,Female,249260
Sex,2008,Male,158027
Sex,2008,Not Specified,32384
Sex,2009,Female,268365
Sex,2009,Male,179666
Sex,2009,Not Specified,42377
Sex,2010,Female,371449
Sex,2010,Male,232742
Sex,2010,Not Specified,68449
Sex,2011,Female,455420
Sex,2011,Male,271448
Sex,2011,Not Specified,54759
Sex,2012,Female,524961
Sex,2012,Male,322839
Sex,2012,Not Specified,82379
Sex,2013,Female,623344
Sex,2013,Male,379380
Sex,2013,Not Specified,65869
Sex,2014,Female,660015
Sex,2014,Male,402169
Sex,2014,Not Specified,136249
Sex,2015,Female,943403
Sex,2015,Male,602044
Sex,2015,Not Specified,174344
Sex,2016,Female,915942
Sex,2016,Male,599002
Sex,2016,Not Specified,168429
Sex,2017,Female,966007
Sex,2017,Male,642197
Sex,2017,Not Specified,196806
Sex,2018,Female,1143928
Sex,2018,Male,730936
Sex,2018,Not Specified,265285
Sex,2019,Female,1174476
Sex,2019,Male,720564
Sex,2019,Not Specified,280244
Sex,2020,Female,1128736
Sex,2020,Male,731662
Sex,2020,Not Specified,342416
Sex,2021,Female,1177346
Sex,2021,Male,875649
Sex,2021,Not Specified,275595
Sex,2022,Female,1189210
Sex,2022,Male,841367
Sex,2022,Not Specified,306522
Sex,2023,Female,1085982
Sex,2023,Male,730127
Sex,2023,Not Specified,338346
Sex,2024,Female,1007479
Sex,2024,Male,684574
Sex,2024,Not Specified,349776
Age Group,1968,2 Months-2 Years,2
Age Group,1968,3-11 Years,1
Age Group,1968,12-17 Years,2
Age Group,1968,18-64 Years,85
Age Group,1968,65-85 Years,7
Age Group,1968,Not Specified,10
Age Group,1969,0-1 Month,2
Age Group,1969,2 Months-2 Years,127
Age Group,1969,3-11 Years,206
Age Group,1969,12-17 Years,167
Age Group,1969,18-64 Years,3287
Age Group,1969,65-85 Years,627
Age Group,1969,More than 85 Years,31
Age Group,1969,Not Specified,986
Age Group,1970,0-1 Month,6
Age Group,1970,2 Months-2 Years,371
Age Group,1970,3-11 Years,686
Age Group,1970,12-17 Years,524
Age Group,1970,18-64 Years,9740
Age Group,1970,65-85 Years,2832
Age Group,1970,More than 85 Years,98
Age Group,1970,Not Specified,3690
Age Group,1971,0-1 Month,6
Age Group,1971,2 Months-2 Years,206
Age Group,1971,3-11 Years,329
Age Group,1971,12-17 Years,313
Age Group,1971,18-64 Years,7156
Age Group,1971,65-85 Years,2530
Age Group,1971,More than 85 Years,61
Age Group,1971,Not Specified,2555
Age Group,1972,0-1 Month,3
Age Group,1972,2 Months-2 Years,135
Age Group,1972,3-11 Years,221
Age Group,1972,12-17 Years,185
Age Group,1972,18-64 Years,4441
Age Group,1972,65-85 Years,1983
Age Group,1972,More than 85 Years,27
Age Group,1972,Not Specified,2642
Age Group,1973,0-1 Month,4
Age Group,1973,2 Months-2 Years,199
Age Group,1973,3-11 Years,363
Age Group,1973,12-17 Years,264
Age Group,1973,18-64 Years,3784
Age Group,1973,65-85 Years,1334
Age Group,1973,More than 85 Years,41
Age Group,1973,Not Specified,5388
Age Group,1974,0-1 Month,4
Age Group,1974,2 Months-2 Years,131
Age Group,1974,3-11 Years,255
Age Group,1974,12-17 Years,220
Age Group,1974,18-64 Years,3531
Age Group,1974,65-85 Years,824
Age Group,1974,More than 85 Years,50
Age Group,1974,Not Specified,4238
Age Group,1975,0-1 Month,2
Age Group,1975,2 Months-2 Years,172
Age Group,1975,3-11 Years,324
Age Group,1975,12-17 Years,261
Age Group,1975,18-64 Years,4157
Age Group,1975,65-85 Years,1491
Age Group,1975,More than 85 Years,59
Age Group,1975,Not Specified,4149
Age Group,1976,0-1 Month,3
Age Group,1976,2 Months-2 Years,134
Age Group,1976,3-11 Years,300
Age Group,1976,12-17 Years,279
Age Group,1976,18-64 Years,4155
Age Group,1976,65-85 Years,879
Age Group,1976,More than 85 Years,66
Age Group,1976,Not Specified,5005
Age Group,1977,0-1 Month,6
Age Group,1977,2 Months-2 Years,159
Age Group,1977,3-11 Years,349
Age Group,1977,12-17 Years,402
Age Group,1977,18-64 Years,5441
Age Group,1977,65-85 Years,1295
Age Group,1977,More than 85 Years,62
Age Group,1977,Not Specified,6027
Age Group,1978,0-1 Month,4
Age Group,1978,2 Months-2 Years,104
Age Group,1978,3-11 Years,281
Age Group,1978,12-17 Years,219
Age Group,1978,18-64 Years,3803
Age Group,1978,65-85 Years,961
Age Group,1978,More than 85 Years,48
Age Group,1978,Not Specified,4015
Age Group,1979,0-1 Month,10
Age Group,1979,2 Months-2 Years,104
Age Group,1979,3-11 Years,234
Age Group,1979,12-17 Years,190
Age Group,1979,18-64 Years,3249
Age Group,1979,65-85 Years,999
Age Group,1979,More than 85 Years,80
Age Group,1979,Not Specified,3377
Age Group,1980,0-1 Month,20
Age Group,1980,2 Months-2 Years,304
Age Group,1980,3-11 Years,444
Age Group,1980,12-17 Years,318
Age Group,1980,18-64 Years,5200
Age Group,1980,65-85 Years,1585
Age Group,1980,More than 85 Years,149
Age Group,1980,Not Specified,4892
Age Group,1981,0-1 Month,17
Age Group,1981,2 Months-2 Years,347
Age Group,1981,3-11 Years,475
Age Group,1981,12-17 Years,327
Age Group,1981,18-64 Years,5655
Age Group,1981,65-85 Years,1803
Age Group,1981,More than 85 Years,125
Age Group,1981,Not Specified,5751
Age Group,1982,0-1 Month,25
Age Group,1982,2 Months-2 Years,538
Age Group,1982,3-11 Years,666
Age Group,1982,12-17 Years,471
Age Group,1982,18-64 Years,9696
Age Group,1982,65-85 Years,3190
Age Group,1982,More than 85 Years,218
Age Group,1982,Not Specified,8901
Age Group,1983,0-1 Month,55
Age Group,1983,2 Months-2 Years,409
Age Group,1983,3-11 Years,562
Age Group,1983,12-17 Years,638
Age Group,1983,18-64 Years,12719
Age Group,1983,65-85 Years,4362
Age Group,1983,More than 85 Years,286
Age Group,1983,Not Specified,12990
Age Group,1984,0-1 Month,86
Age Group,1984,2 Months-2 Years,501
Age Group,1984,3-11 Years,785
Age Group,1984,12-17 Years,670
Age Group,1984,18-64 Years,14072
Age Group,1984,65-85 Years,4659
Age Group,1984,More than 85 Years,279
Age Group,1984,Not Specified,11571
Age Group,1985,0-1 Month,162
Age Group,1985,2 Months-2 Years,1090
Age Group,1985,3-11 Years,1161
Age Group,1985,12-17 Years,906
Age Group,1985,18-64 Years,15966
Age Group,1985,65-85 Years,5480
Age Group,1985,More than 85 Years,392
Age Group,1985,Not Specified,13642
Age Group,1986,0-1 Month,199
Age Group,1986,2 Months-2 Years,1517
Age Group,1986,3-11 Years,1661
Age Group,1986,12-17 Years,1237
Age Group,1986,18-64 Years,22429
Age Group,1986,65-85 Years,8522
Age Group,1986,More than 85 Years,553
Age Group,1986,Not Specified,19810
Age Group,1987,0-1 Month,171
Age Group,1987,2 Months-2 Years,1673
Age Group,1987,3-11 Years,2071
Age Group,1987,12-17 Years,1437
Age Group,1987,18-64 Years,23337
Age Group,1987,65-85 Years,7615
Age Group,1987,More than 85 Years,516
Age Group,1987,Not Specified,17939
Age Group,1988,0-1 Month,192
Age Group,1988,2 Months-2 Years,1793
Age Group,1988,3-11 Years,1410
Age Group,1988,12-17 Years,1123
Age Group,1988,18-64 Years,20583
Age Group,1988,65-85 Years,7275
Age Group,1988,More than 85 Years,491
Age Group,1988,Not Specified,18271
Age Group,1989,0-1 Month,285
Age Group,1989,2 Months-2 Years,2124
Age Group,1989,3-11 Years,1793
Age Group,1989,12-17 Years,1148
Age Group,1989,18-64 Years,24641
Age Group,1989,65-85 Years,8427
Age Group,1989,More than 85 Years,627
Age Group,1989,Not Specified,21637
Age Group,1990,0-1 Month,241
Age Group,1990,2 Months-2 Years,1704
Age Group,1990,3-11 Years,1913
Age Group,1990,12-17 Years,1484
Age Group,1990,18-64 Years,30810
Age Group,1990,65-85 Years,9739
Age Group,1990,More than 85 Years,616
Age Group,1990,Not Specified,28694
Age Group,1991,0-1 Month,242
Age Group,1991,2 Months-2 Years,1007
Age Group,1991,3-11 Years,2136
Age Group,1991,12-17 Years,1548
Age Group,1991,18-64 Years,31242
Age Group,1991,65-85 Years,10369
Age Group,1991,More than 85 Years,691
Age Group,1991,Not Specified,28055
Age Group,1992,0-1 Month,208
Age Group,1992,2 Months-2 Years,1101
Age Group,1992,3-11 Years,2246
Age Group,1992,12-17 Years,2041
Age Group,1992,18-64 Years,42460
Age Group,1992,65-85 Years,15145
Age Group,1992,More than 85 Years,1037
Age Group,1992,Not Specified,41716
Age Group,1993,0-1 Month,278
Age Group,1993,2 Months-2 Years,1144
Age Group,1993,3-11 Years,2500
Age Group,1993,12-17 Years,2421
Age Group,1993,18-64 Years,52494
Age Group,1993,65-85 Years,20324
Age Group,1993,More than 85 Years,1328
Age Group,1993,Not Specified,43709
Age Group,1994,0-1 Month,345
Age Group,1994,2 Months-2 Years,1775
Age Group,1994,3-11 Years,3866
Age Group,1994,12-17 Years,2948
Age Group,1994,18-64 Years,56393
Age Group,1994,65-85 Years,23082
Age Group,1994,More than 85 Years,1537
Age Group,1994,Not Specified,39176
Age Group,1995,0-1 Month,386
Age Group,1995,2 Months-2 Years,1169
Age Group,1995,3-11 Years,3609
Age Group,1995,12-17 Years,3403
Age Group,1995,18-64 Years,67021
Age Group,1995,65-85 Years,24362
Age Group,1995,More than 85 Years,1703
Age Group,1995,Not Specified,40014
Age Group,1996,0-1 Month,446
Age Group,1996,2 Months-2 Years,1625
Age Group,1996,3-11 Years,4534
Age Group,1996,12-17 Years,3540
Age Group,1996,18-64 Years,76983
Age Group,1996,65-85 Years,32401
Age Group,1996,More than 85 Years,2145
Age Group,1996,Not Specified,50530
Age Group,1997,0-1 Month,704
Age Group,1997,2 Months-2 Years,1825
Age Group,1997,3-11 Years,4791
Age Group,1997,12-17 Years,3701
Age Group,1997,18-64 Years,94179
Age Group,1997,65-85 Years,39146
Age Group,1997,More than 85 Years,2547
Age Group,1997,Not Specified,51341
Age Group,1998,0-1 Month,1210
Age Group,1998,2 Months-2 Years,1565
Age Group,1998,3-11 Years,3389
Age Group,1998,12-17 Years,3417
Age Group,1998,18-64 Years,76221
Age Group,1998,65-85 Years,34936
Age Group,1998,More than 85 Years,2544
Age Group,1998,Not Specified,36608
Age Group,1999,0-1 Month,1475
Age Group,1999,2 Months-2 Years,2297
Age Group,1999,3-11 Years,3826
Age Group,1999,12-17 Years,3691
Age Group,1999,18-64 Years,106172
Age Group,1999,65-85 Years,50510
Age Group,1999,More than 85 Years,3601
Age Group,1999,Not Specified,52791
Age Group,2000,0-1 Month,1622
Age Group,2000,2 Months-2 Years,2044
Age Group,2000,3-11 Years,3530
Age Group,2000,12-17 Years,3603
Age Group,2000,18-64 Years,90885
Age Group,2000,65-85 Years,49451
Age Group,2000,More than 85 Years,3827
Age Group,2000,Not Specified,44837
Age Group,2001,0-1 Month,2347
Age Group,2001,2 Months-2 Years,1883
Age Group,2001,3-11 Years,4158
Age Group,2001,12-17 Years,4397
Age Group,2001,18-64 Years,91906
Age Group,2001,65-85 Years,49665
Age Group,2001,More than 85 Years,4059
Age Group,2001,Not Specified,44793
Age Group,2002,0-1 Month,2123
Age Group,2002,2 Months-2 Years,1576
Age Group,2002,3-11 Years,3237
Age Group,2002,12-17 Years,3586
Age Group,2002,18-64 Years,86527
Age Group,2002,65-85 Years,44580
Age Group,2002,More than 85 Years,3696
Age Group,2002,Not Specified,39554
Age Group,2003,0-1 Month,1961
Age Group,2003,2 Months-2 Years,1771
Age Group,2003,3-11 Years,5042
Age Group,2003,12-17 Years,5267
Age Group,2003,18-64 Years,103025
Age Group,2003,65-85 Years,50279
Age Group,2003,More than 85 Years,4202
Age Group,2003,Not Specified,53687
Age Group,2004,0-1 Month,1825
Age Group,2004,2 Months-2 Years,1968
Age Group,2004,3-11 Years,6264
Age Group,2004,12-17 Years,6411
Age Group,2004,18-64 Years,124501
Age Group,2004,65-85 Years,65620
Age Group,2004,More than 85 Years,5362
Age Group,2004,Not Specified,60880
Age Group,2005,0-1 Month,1888
Age Group,2005,2 Months-2 Years,2007
Age Group,2005,3-11 Years,5985
Age Group,2005,12-17 Years,6308
Age Group,2005,18-64 Years,144271
Age Group,2005,65-85 Years,73370
Age Group,2005,More than 85 Years,5421
Age Group,2005,Not Specified,82629
Age Group,2006,0-1 Month,2266
Age Group,2006,2 Months-2 Years,2236
Age Group,2006,3-11 Years,4837
Age Group,2006,12-17 Years,6161
Age Group,2006,18-64 Years,158636
Age Group,2006,65-85 Years,78529
Age Group,2006,More than 85 Years,5844
Age Group,2006,Not Specified,77161
Age Group,2007,0-1 Month,2766
Age Group,2007,2 Months-2 Years,2518
Age Group,2007,3-11 Years,6273
Age Group,2007,12-17 Years,6922
Age Group,2007,18-64 Years,171535
Age Group,2007,65-85 Years,78461
Age Group,2007,More than 85 Years,5856
Age Group,2007,Not Specified,88994
Age Group,2008,0-1 Month,4639
Age Group,2008,2 Months-2 Years,2848
Age Group,2008,3-11 Years,7620
Age Group,2008,12-17 Years,7742
Age Group,2008,18-64 Years,202023
